entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1-GGA,Cs,-0.9699028134346008,-0.9699028134346008,1
mp-1007760-GGA,Ge,-18.057735443115234,-4.514433860778809,4
mp-1007976-GGA,Cs,-3.875725030899048,-0.968931257724762,4
mp-1012110-GGA,Cs,-3.8696110248565674,-0.9674027562141418,4
mp-1055940-GGA,Cs,-0.9697182774543762,-0.9697182774543762,1
mp-1056920-GGA,CsI,-5.444182395935059,-2.7220911979675293,2
mp-1078801-GGA,CsI,-21.91974449157715,-2.7399680614471436,8
mp-1079694-GGA,CsI,-21.095863342285156,-2.6369829177856445,8
mp-1080106-GGA,Ge,-34.99964141845703,-4.374955177307129,8
mp-1091415-GGA,Ge,-36.112281799316406,-4.514035224914551,8
mp-1096915-GGA,Cs,-0.9699729681015015,-0.9699729681015015,1
mp-1180981-GGA,I,-1.4365946054458618,-1.4365946054458618,1
mp-1181521-GGA,CsGe,-11.172503471374512,-2.793125867843628,4
mp-1182809-GGA,Cs,-3.881007671356201,-0.9702519178390503,4
mp-11832-GGA,Cs,-1.938151240348816,-0.969075620174408,2
mp-1183694-GGA,Cs,-0.9687396883964539,-0.9687396883964539,1
mp-1183897-GGA,Cs,-19.193984985351562,-0.9596992492675781,20
mp-1184038-GGA,Cs3I,-14.452139854431152,-1.806517481803894,8
mp-1184151-GGA,Cs,-27.779865264892578,-0.9579263884445717,29
mp-1198022-GGA,Ge,-151.8770751953125,-4.466972799862132,34
mp-1273-GGA,CsGe,-187.32351684570312,-2.9269299507141113,64
mp-128-GGA,Ge,-34.81591033935547,-4.351988792419434,8
mp-137-GGA,Ge,-52.05719757080078,-4.3380997975667315,12
mp-1444738-GGA,CsI,-10.960590362548828,-2.740147590637207,4
mp-1540935-GGA,GeI2,-25.73040771484375,-2.8589341905381946,9
mp-22876-GGA,CsI3,-35.04619216918945,-2.190387010574341,16
mp-23153-GGA,I,-5.968433380126953,-1.4921083450317383,4
mp-23266-GGA,GeI4,-95.86909484863281,-2.39672737121582,40
mp-27922-GGA,GeI2,-25.708953857421875,-2.8565504286024304,9
mp-28377-GGA,CsGeI3,-14.139323234558105,-2.827864646911621,5
mp-3-GGA,Cs,-1.9383295774459839,-0.9691647887229919,2
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-567677-GGA,GeI2,-8.25186538696289,-2.750621795654297,3
mp-571011-GGA,CsI4,-41.228843688964844,-2.061442184448242,20
mp-573579-GGA,Cs,-7.748906135559082,-0.9686132669448853,8
mp-601148-GGA,I,-1.4356693029403687,-1.4356693029403687,1
mp-614603-GGA,CsI,-5.481367588043213,-2.7406837940216064,2
mp-639727-GGA,Cs,-3.877203941345215,-0.9693009853363037,4
mp-639751-GGA,I,-1.4924715757369995,-1.4924715757369995,1
mp-642690-GGA,CsGeI3,-14.103580474853516,-2.8207160949707033,5
mp-672241-GGA,Cs,-7.7357177734375,-0.9669647216796875,8
mp-866501-GGA,CsGe,-93.07583618164062,-2.9086198806762695,32
mp-949029-GGA,Cs,-7.647772312164307,-0.9559715390205383,8
