entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1007760-GGA,Ge,-18.057649612426758,-4.5144124031066895,4
mp-10157-GGA,K,-1.0583912134170532,-1.0583912134170532,1
mp-1068966-GGA,K,-4.91143798828125,-0.98228759765625,5
mp-1078640-GGA,K,-7.907837867736816,-0.988479733467102,8
mp-1080043-GGA,K,-8.12373161315918,-1.0154664516448975,8
mp-1080106-GGA,Ge,-34.99968338012695,-4.374960422515869,8
mp-1091415-GGA,Ge,-36.11211013793945,-4.514013767242432,8
mp-1120813-GGA,Br,-49.43331527709961,-1.5447911024093628,32
mp-1180961-GGA,K,-2.029585361480713,-1.0147926807403564,2
mp-1180991-GGA,K,-5.0015339851379395,-1.0003067970275878,5
mp-1184708-GGA,GeBr2,-18.77265167236328,-3.1287752787272134,6
mp-1184755-GGA,K,-2.1149909496307373,-1.0574954748153687,2
mp-1184764-GGA,K,-3.1738040447235107,-1.0579346815745037,3
mp-1184804-GGA,K,-8.443674087524414,-1.0554592609405518,8
mp-1184808-GGA,K,-8.320980072021484,-1.0401225090026855,8
mp-1184905-GGA,K,-20.90597152709961,-1.0452985763549805,20
mp-1185135-GGA,KBr3,-17.13527488708496,-2.14190936088562,8
mp-1185201-GGA,K,-30.26066780090332,-1.0434713034794247,29
mp-1196998-GGA,K3Ge17,-162.6855010986328,-4.06713752746582,40
mp-1198022-GGA,Ge,-151.877197265625,-4.466976390165441,34
mp-1199937-GGA,K,-83.08061981201172,-1.0256866643458238,81
mp-1201758-GGA,KGe,-95.83867645263672,-2.9949586391448975,32
mp-128-GGA,Ge,-34.8158073425293,-4.351975917816162,8
mp-137-GGA,Ge,-52.05724334716797,-4.338103612263997,12
mp-2146-GGA,KGe,-192.63671875,-3.00994873046875,64
mp-23154-GGA,Br,-6.45277738571167,-1.6131943464279175,4
mp-23251-GGA,KBr,-6.225473880767822,-3.112736940383911,2
mp-27800-GGA,K4Ge23,-220.6285858154297,-4.085714552137587,54
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-541610-GGA,GeBr2,-75.90528106689453,-3.162720044453939,24
mp-567604-GGA,GeBr4,-56.98459243774414,-2.849229621887207,20
mp-570891-GGA,KBr,-6.074480056762695,-3.0372400283813477,2
mp-571246-GGA,GeBr4,-113.92919158935547,-2.8482297897338866,40
mp-573691-GGA,K,-8.342201232910156,-1.0427751541137695,8
mp-58-GGA,K,-1.049010157585144,-1.049010157585144,1
mp-604318-GGA,K,-4.22936487197876,-1.05734121799469,4
mp-604325-GGA,K,-2.0287513732910156,-1.0143756866455078,2
mp-972981-GGA,K,-2.1125829219818115,-1.0562914609909058,2
mp-998412-GGA,KGeBr3,-15.650848388671875,-3.130169677734375,5
mp-998612-GGA,KGeBr3,-31.63034439086914,-3.163034439086914,10
mp-998864-GGA,Br,-1.5281012058258057,-1.5281012058258057,1
mp-998881-GGA,K,-0.9962063431739807,-0.9962063431739807,1
