entry_id,composition,energy_eV,energy_per_atom_eV,num_atoms
mp-1007760-GGA,Ge,-18.057554244995117,-4.514388561248779,4
mp-1008394-GGA,Cl2,-7.310530662536621,-1.8276326656341553,4
mp-10157-GGA,K,-1.0583912134170532,-1.0583912134170532,1
mp-1068966-GGA,K,-4.91136360168457,-0.982272720336914,5
mp-1078640-GGA,K,-7.907963275909424,-0.988495409488678,8
mp-1080043-GGA,K,-8.123934745788574,-1.0154918432235718,8
mp-1080106-GGA,Ge,-34.99972152709961,-4.374965190887451,8
mp-1091415-GGA,Ge,-36.11241149902344,-4.51405143737793,8
mp-1180961-GGA,K,-2.0296199321746826,-1.0148099660873413,2
mp-1180991-GGA,K,-5.001473426818848,-1.0002946853637695,5
mp-1184755-GGA,K,-2.1151504516601562,-1.0575752258300781,2
mp-1184764-GGA,K,-3.173150062561035,-1.057716687520345,3
mp-1184804-GGA,K,-8.443428993225098,-1.0554286241531372,8
mp-1184808-GGA,K,-8.320980072021484,-1.0401225090026855,8
mp-1184905-GGA,K,-20.906160354614258,-1.0453080177307128,20
mp-1185148-GGA,KCl3,-9.019247055053711,-2.2548117637634277,4
mp-1185201-GGA,K,-30.260683059692383,-1.0434718296445649,29
mp-1196998-GGA,K3Ge17,-162.68597412109375,-4.067149353027344,40
mp-1198022-GGA,Ge,-151.87734985351562,-4.466980878044577,34
mp-1199937-GGA,K,-83.080078125,-1.0256799768518519,81
mp-1201758-GGA,KGe,-95.83876037597656,-2.9949612617492676,32
mp-128-GGA,Ge,-34.81604766845703,-4.352005958557129,8
mp-137-GGA,Ge,-52.05692672729492,-4.338077227274577,12
mp-2146-GGA,KGe,-192.63633728027344,-3.0099427700042725,64
mp-22848-GGA,Cl2,-7.317361354827881,-1.8293403387069702,4
mp-23193-GGA,KCl,-6.810478687286377,-3.4052393436431885,2
mp-23289-GGA,KCl,-6.656698226928711,-3.3283491134643555,2
mp-27800-GGA,K4Ge23,-220.62803649902344,-4.0857043796115455,54
mp-29688-GGA,Ge3Cl8,-150.46009826660156,-3.419547687877308,44
mp-30086-GGA,GeCl4,-66.1727523803711,-3.3086376190185547,20
mp-32-GGA,Ge,-9.030091285705566,-4.515045642852783,2
mp-570778-GGA,Cl2,-29.167821884155273,-1.8229888677597046,16
mp-573691-GGA,K,-8.342406272888184,-1.042800784111023,8
mp-58-GGA,K,-1.049010157585144,-1.049010157585144,1
mp-604318-GGA,K,-4.22936487197876,-1.05734121799469,4
mp-604325-GGA,K,-2.0280208587646484,-1.0140104293823242,2
mp-972981-GGA,K,-2.1124918460845947,-1.0562459230422974,2
mp-998231-GGA,KGeCl3,-17.358116149902344,-3.4716232299804686,5
mp-998613-GGA,KGeCl3,-35.05689239501953,-3.505689239501953,10
mp-998881-GGA,K,-0.9962063431739807,-0.9962063431739807,1
